state	name	FIPS
WV	Hancock	54029
WV	Brooke	54009
WV	Ohio	54069
WV	Marshall	54051
WV	Monongalia	54061
WV	Preston	54077
WV	Wetzel	54103
WV	Morgan	54065
WV	Mineral	54057
WV	Marion	54049
WV	Berkeley	54003
WV	Tyler	54095
WV	Hampshire	54027
WV	Jefferson	54037
WV	Pleasants	54073
WV	Harrison	54033
WV	Taylor	54091
WV	Doddridge	54017
WV	Wood	54107
WV	Ritchie	54085
WV	Grant	54023
WV	Barbour	54001
WV	Tucker	54093
WV	Hardy	54031
WV	Wirt	54105
WV	Lewis	54041
WV	Randolph	54083
WV	Upshur	54097
WV	Gilmer	54021
WV	Jackson	54035
WV	Calhoun	54013
WV	Mason	54053
WV	Pendleton	54071
WV	Roane	54087
WV	Braxton	54007
WV	Pocahontas	54075
WV	Webster	54101
WV	Putnam	54079
WV	Clay	54015
WV	Kanawha	54039
WV	Cabell	54011
WV	Nicholas	54067
WV	Wayne	54099
WV	Lincoln	54043
WV	Greenbrier	54025
WV	Fayette	54019
WV	Boone	54005
WV	Logan	54045
WV	Raleigh	54081
WV	Mingo	54059
WV	Summers	54089
WV	Wyoming	54109
WV	Monroe	54063
WV	Mercer	54055
WV	McDowell	54047
