Year	Commodity	Volume	County	State	Product
2004		467		OR	Natural Gas (MMcf)
2005		454		OR	Natural Gas (MMcf)
2006		621		OR	Natural Gas (MMcf)
2007		409		OR	Natural Gas (MMcf)
2008		778		OR	Natural Gas (MMcf)
2009		821		OR	Natural Gas (MMcf)
2010		1407		OR	Natural Gas (MMcf)
2011		1344		OR	Natural Gas (MMcf)
2012		770		OR	Natural Gas (MMcf)
2013		770		OR	Natural Gas (MMcf)
2004		33081		OR	Conventional Hydroelectric (Kwh)
2005		30948		OR	Conventional Hydroelectric (Kwh)
2006		37850		OR	Conventional Hydroelectric (Kwh)
2007		33587		OR	Conventional Hydroelectric (Kwh)
2008		33805		OR	Conventional Hydroelectric (Kwh)
2009		33034		OR	Conventional Hydroelectric (Kwh)
2010		30542		OR	Conventional Hydroelectric (Kwh)
2011		42315		OR	Conventional Hydroelectric (Kwh)
2012		39410		OR	Conventional Hydroelectric (Kwh)
2013		33098		OR	Conventional Hydroelectric (Kwh)
2004		1115		OR	All Other Renewables (Kwh)
2005		1601		OR	All Other Renewables (Kwh)
2006		1829		OR	All Other Renewables (Kwh)
2007		2228		OR	All Other Renewables (Kwh)
2008		3423		OR	All Other Renewables (Kwh)
2009		4272		OR	All Other Renewables (Kwh)
2010		4757		OR	All Other Renewables (Kwh)
2011		5490		OR	All Other Renewables (Kwh)
2012		7207		OR	All Other Renewables (Kwh)
2013		8635		OR	All Other Renewables (Kwh)
2004		619		OR	Wind (Kwh)
2005		734		OR	Wind (Kwh)
2006		931		OR	Wind (Kwh)
2007		1247		OR	Wind (Kwh)
2008		2575		OR	Wind (Kwh)
2009		3470		OR	Wind (Kwh)
2010		3920		OR	Wind (Kwh)
2011		4775		OR	Wind (Kwh)
2012		6343		OR	Wind (Kwh)
2013		7456		OR	Wind (Kwh)
2011		0		OR	Solar (Kwh)
2012		6		OR	Solar (Kwh)
2013		20		OR	Solar (Kwh)
2012		26		OR	Geothermal (Kwh)
2013		165		OR	Geothermal (Kwh)
2004		496		OR	Biomass (total) (Kwh)
2005		866		OR	Biomass (total) (Kwh)
2006		898		OR	Biomass (total) (Kwh)
2007		981		OR	Biomass (total) (Kwh)
2008		848		OR	Biomass (total) (Kwh)
2009		803		OR	Biomass (total) (Kwh)
2010		837		OR	Biomass (total) (Kwh)
2011		714		OR	Biomass (total) (Kwh)
2012		832		OR	Biomass (total) (Kwh)
2013		994		OR	Biomass (total) (Kwh)
2004		410		OR	Wood and wood-derived fuels (Kwh)
2005		768		OR	Wood and wood-derived fuels (Kwh)
2006		799		OR	Wood and wood-derived fuels (Kwh)
2007		843		OR	Wood and wood-derived fuels (Kwh)
2008		717		OR	Wood and wood-derived fuels (Kwh)
2009		674		OR	Wood and wood-derived fuels (Kwh)
2010		632		OR	Wood and wood-derived fuels (Kwh)
2011		492		OR	Wood and wood-derived fuels (Kwh)
2012		600		OR	Wood and wood-derived fuels (Kwh)
2013		700		OR	Wood and wood-derived fuels (Kwh)
2004		86		OR	Other biomass (Kwh)
2005		98		OR	Other biomass (Kwh)
2006		99		OR	Other biomass (Kwh)
2007		139		OR	Other biomass (Kwh)
2008		131		OR	Other biomass (Kwh)
2009		128		OR	Other biomass (Kwh)
2010		205		OR	Other biomass (Kwh)
2011		222		OR	Other biomass (Kwh)
2012		232		OR	Other biomass (Kwh)
2013		294		OR	Other biomass (Kwh)
2004		35807		OR	All Renewables (Kwh)
2005		35015		OR	All Renewables (Kwh)
2006		42406		OR	All Renewables (Kwh)
2007		39025		OR	All Renewables (Kwh)
2008		41499		OR	All Renewables (Kwh)
2009		42381		OR	All Renewables (Kwh)
2010		40893		OR	All Renewables (Kwh)
2011		54008		OR	All Renewables (Kwh)
2012		54656		OR	All Renewables (Kwh)
2013		51362		OR	All Renewables (Kwh)
