Year	State	County	FIPS	Commodity	Product	Volume
2005	LA	De Soto Parish	22031		Oil (bbl)	0.02
2006	MS	Clarke County	28023		Oil (bbl)	0.03
2007	MS	Clarke County	28023		Oil (bbl)	0.03
2010	TX	Brazos County	48041		Oil (bbl)	0.04
2006	LA	De Soto Parish	22031		Oil (bbl)	0.04
2013	MS	Lawrence County	28077		Oil (bbl)	0.05
2009	TX	Brazos County	48041		Oil (bbl)	0.06
2008	CO	Broomfield County	08014		Oil (bbl)	0.21
2010	TX	Brazos County	48041		Gas (mcf)	0.22
2012	MS	Lawrence County	28077		Oil (bbl)	0.22
2007	CO	Broomfield County	08014		Oil (bbl)	0.23
2007	TX	Jackson County	48239		Oil (bbl)	0.26
2005	MS	Clarke County	28023		Oil (bbl)	0.28
2005	CO	Broomfield County	08014		Oil (bbl)	0.33
2009	CO	Broomfield County	08014		Oil (bbl)	0.34
2011	MS	Lawrence County	28077		Oil (bbl)	0.37
2012	OK	Logan County	40083		Gas (mcf)	0.38
2006	CO	Broomfield County	08014		Oil (bbl)	0.39
2007	OK	Payne County	40119		Oil (bbl)	0.41
2012	OK	Logan County	40083		Oil (bbl)	0.43
2009	TX	Brazos County	48041		Gas (mcf)	0.43
2006	KS	Comanche County	20033		Oil (bbl)	0.44
2013	KS	Comanche County	20033		Oil (bbl)	0.44
2007	MS	Lawrence County	28077		Oil (bbl)	0.55
2013	Withheld	Withheld	Withheld		Zinc Concentrate (tons)	0.61
2013	MS	Jasper County	28061		Oil (bbl)	0.61
2009	TX	Newton County	48351		Oil (bbl)	0.66
2010	MS	Lawrence County	28077		Oil (bbl)	0.67
2009	CA	Contra Costa County	06013		Oil (bbl)	0.82
2008	TX	Brazos County	48041		Oil (bbl)	0.83
2008	MS	Lawrence County	28077		Oil (bbl)	0.86
2005	OK	Coal County	40029		Oil (bbl)	0.88
2005	TX	Brazos County	48041		Oil (bbl)	0.93
2014	CA	San Benito County	06069		Gas (mcf)	1
2011	TX	Parker County	48367		Oil (bbl)	1
2007	WY	Natrona County	56025		Oil (bbl)	1
2013	Withheld	Withheld	Withheld		Gold and Silver Products (oz)	1
2009	MS	Lawrence County	28077		Oil (bbl)	1.01
2014	AR	Columbia County	05027		Oil (bbl)	1.02
2010	TX	Starr County	48427		Oil (bbl)	1.06
2013	CA	Tehama County	06103		Gas (mcf)	1.12
2005	KS	Comanche County	20033		Oil (bbl)	1.12
2013	TX	Wheeler County	48483		Oil (bbl)	1.14
2007	KS	Comanche County	20033		Oil (bbl)	1.18
2008	KS	Comanche County	20033		Oil (bbl)	1.18
2010	KS	Comanche County	20033		Oil (bbl)	1.24
2012	KS	Comanche County	20033		Oil (bbl)	1.24
2007	KS	Stevens County	20189		Oil (bbl)	1.25
2006	KS	Meade County	20119		Oil (bbl)	1.26
2014	LA	Lafourche Parish	22057		Oil (bbl)	1.28
2013	AR	Columbia County	05027		Oil (bbl)	1.4
2009	KS	Comanche County	20033		Oil (bbl)	1.43
2006	TX	Jackson County	48239		Oil (bbl)	1.5
2011	TX	Ochiltree County	48357		Oil (bbl)	1.5
2005	TX	Jackson County	48239		Oil (bbl)	1.57
2007	TX	Brazos County	48041		Oil (bbl)	1.66
2014	CA	Contra Costa County	06013		Oil (bbl)	1.7
2006	TX	Brazos County	48041		Oil (bbl)	1.71
2012	CA	Contra Costa County	06013		Oil (bbl)	1.73
2011	TX	Wilbarger County	48487		Oil (bbl)	1.86
2011	KS	Comanche County	20033		Oil (bbl)	1.87
2011	AR	Columbia County	05027		Oil (bbl)	2.04
2010	AR	Columbia County	05027		Oil (bbl)	2.24
2006	TX	Ochiltree County	48357		Oil (bbl)	2.25
2010	TX	Ochiltree County	48357		Oil (bbl)	2.25
2008	TX	Brazos County	48041		Gas (mcf)	2.3
2012	AR	Columbia County	05027		Oil (bbl)	2.35
2010	CO	Gunnison County	08051		Oil (bbl)	2.5
2009	KS	Meade County	20119		Oil (bbl)	2.52
2013	CA	Contra Costa County	06013		Oil (bbl)	2.66
2014	NE	Red Willow County	31145		Oil (bbl)	2.73
2007	TX	Newton County	48351		Gas (mcf)	2.84
2012	MS	Jasper County	28061		Oil (bbl)	2.88
2013	LA	Lafourche Parish	22057		Oil (bbl)	2.97
2006	TX	Newton County	48351		Oil (bbl)	2.99
2006	TX	Nacogdoches County	48347		Oil (bbl)	3.08
2012	NE	Red Willow County	31145		Oil (bbl)	3.12
2013	NE	Red Willow County	31145		Oil (bbl)	3.16
2014	CO	Kit Carson County	08063		Gas (mcf)	3.46
2011	LA	Lincoln Parish	22061		Oil (bbl)	3.57
2007	CO	Gunnison County	08051		Oil (bbl)	3.74
2005	TX	Ochiltree County	48357		Oil (bbl)	3.75
2005	TX	Houston County	48225		Gas (mcf)	4
2013	MS	Wilkinson County	28157		Gas (mcf)	4
2008	TX	Parker County	48367		Oil (bbl)	4
2012	LA	Lincoln Parish	22061		Oil (bbl)	4
2014	LA	Lincoln Parish	22061		Oil (bbl)	4
2011	NE	Red Willow County	31145		Oil (bbl)	4.26
2014	OK	Oklahoma County	40109		Oil (bbl)	4.28
2010	KS	Stevens County	20189		Oil (bbl)	4.5
2012	LA	Lafourche Parish	22057		Oil (bbl)	4.57
2011	OK	Logan County	40083		Oil (bbl)	4.6
2008	CO	Broomfield County	08014		Gas (mcf)	4.6
2010	MI	Grand Traverse County	26055		Oil (bbl)	4.63
2007	CO	Broomfield County	08014		Gas (mcf)	4.69
2013	OK	Oklahoma County	40109		Oil (bbl)	4.78
2009	CO	Broomfield County	08014		Gas (mcf)	4.79
2014	MS	Jasper County	28061		Oil (bbl)	5.04
2010	NE	Red Willow County	31145		Oil (bbl)	5.07
2011	CO	Arapahoe County	08005		Gas (mcf)	5.08
2011	MI	Grand Traverse County	26055		Oil (bbl)	5.1
2008	LA	Red River Parish	22081		Oil (bbl)	5.25
2010	OK	Logan County	40083		Oil (bbl)	5.3
2012	TX	Zapata County	48505		Oil (bbl)	5.3
2013	CO	Kit Carson County	08063		Gas (mcf)	5.51
2009	NE	Red Willow County	31145		Oil (bbl)	5.51
2007	TX	Brazos County	48041		Gas (mcf)	5.62
2006	CO	Bent County	08011		Oil (bbl)	5.62
2005	TX	Brazos County	48041		Gas (mcf)	5.63
2009	AR	Columbia County	05027		Oil (bbl)	5.68
2005	NE	Red Willow County	31145		Oil (bbl)	5.68
2014	TX	Wheeler County	48483		Oil (bbl)	5.73
2006	MS	Jasper County	28061		Oil (bbl)	5.91
2013	TX	Ochiltree County	48357		Oil (bbl)	6
2008	NE	Red Willow County	31145		Oil (bbl)	6.19
2006	OK	Oklahoma County	40109		Oil (bbl)	6.22
2011	MS	Jasper County	28061		Oil (bbl)	6.36
2007	NE	Red Willow County	31145		Oil (bbl)	6.37
2005	CO	Broomfield County	08014		Gas (mcf)	6.58
2006	CO	Fremont County	08043		Oil (bbl)	6.62
2009	TX	Starr County	48427		Oil (bbl)	6.64
2008	MO	Crawford County	29055		Zinc Concentrate (tons)	6.67
2008	TX	Newton County	48351		Gas (mcf)	6.7
2006	AL	Choctaw County	01023		Oil (bbl)	6.73
2009	TX	Ochiltree County	48357		Oil (bbl)	6.75
2011	OK	Oklahoma County	40109		Oil (bbl)	6.92
2006	CA	San Benito County	06069		Gas (mcf)	7
2013	CA	San Benito County	06069		Gas (mcf)	7
2008	Withheld	Withheld	Withheld		Gold and Silver Products (oz)	7
2009	Withheld	Withheld	Withheld		Gold Products (ounces)	7
2009	OK	Oklahoma County	40109		Oil (bbl)	7.04
2010	CO	Broomfield County	08014		Oil (bbl)	7.09
2014	TX	Freestone County	48161		Oil (bbl)	7.14
2007	OK	Oklahoma County	40109		Oil (bbl)	7.23
2005	MS	Jasper County	28061		Oil (bbl)	7.32
2008	OK	Oklahoma County	40109		Oil (bbl)	7.36
2009	AL	Baldwin County	01003		Oil (bbl)	7.38
2009	AL	Mobile County	01097		Oil (bbl)	7.38
2010	OK	Oklahoma County	40109		Oil (bbl)	7.42
2012	OK	Oklahoma County	40109		Oil (bbl)	7.55
2006	NE	Red Willow County	31145		Oil (bbl)	7.56
2007	AL	Baldwin County	01003		Oil (bbl)	7.9
2007	AL	Mobile County	01097		Oil (bbl)	7.9
2010	WV	Lewis County	54041		Oil (bbl)	8
2014	CO	Arapahoe County	08005		Oil (bbl)	8.01
2008	AR	Columbia County	05027		Oil (bbl)	8.03
2009	OK	Atoka County	40005		Oil (bbl)	8.16
2010	MS	Jasper County	28061		Oil (bbl)	8.33
2005	MS	Hancock County	28045		Oil (bbl)	8.37
2006	CO	Broomfield County	08014		Gas (mcf)	8.68
2006	AL	Baldwin County	01003		Oil (bbl)	8.92
2013	CO	Delta County	08029		Oil (bbl)	8.93
2007	AL	Choctaw County	01023		Oil (bbl)	8.99
2008	TX	Ochiltree County	48357		Oil (bbl)	9
2012	CO	Kit Carson County	08063		Oil (bbl)	9
2009	TX	Hemphill County	48211		Oil (bbl)	9.13
2009	LA	Beauregard Parish	22011		Gas (mcf)	9.23
2009	TX	Newton County	48351		Gas (mcf)	9.4
2005	OK	Oklahoma County	40109		Oil (bbl)	9.49
2008	AL	Baldwin County	01003		Oil (bbl)	9.52
2008	AL	Mobile County	01097		Oil (bbl)	9.52
2007	TX	Nacogdoches County	48347		Oil (bbl)	9.73
2009	MI	Grand Traverse County	26055		Oil (bbl)	9.73
2007	MS	Jasper County	28061		Oil (bbl)	9.77
2009	AK	North Slope Borough	02185		Gas (mcf)	10
2011	Withheld	Withheld	Withheld		Gold Products (ounces)	10
2008	MO	Washington County	29221		Zinc Concentrate (tons)	10.33
2007	OK	Caddo County	40015		Oil (bbl)	10.45
2013	CO	Kit Carson County	08063		Oil (bbl)	10.52
2011	CO	Kit Carson County	08063		Oil (bbl)	10.59
2012	TX	Wheeler County	48483		Oil (bbl)	10.61
2008	OK	Logan County	40083		Oil (bbl)	10.76
2008	TX	Newton County	48351		Oil (bbl)	10.86
2014	LA	Natchitoches Parish	22069		Oil (bbl)	10.88
2008	KS	Meade County	20119		Oil (bbl)	10.97
2009	TX	Jones County	48253		Oil (bbl)	11
2014	CO	Kit Carson County	08063		Oil (bbl)	11
2011	TX	Wheeler County	48483		Oil (bbl)	11.03
2005	OK	Logan County	40083		Oil (bbl)	11.08
2005	CO	Bent County	08011		Oil (bbl)	11.16
2006	TX	Brazos County	48041		Gas (mcf)	11.24
2013	LA	Bienville Parish	22013		Oil (bbl)	11.44
2013	MS	Lawrence County	28077		Gas (mcf)	11.6
2009	OK	Logan County	40083		Oil (bbl)	11.62
2009	CO	Arapahoe County	08005		Gas (mcf)	11.66
2006	OK	Logan County	40083		Oil (bbl)	11.79
2006	TX	Hemphill County	48211		Oil (bbl)	11.93
2010	KY	Lawrence County	21127		Gas (mcf)	12
2012	CA	San Benito County	06069		Gas (mcf)	12
2009	CO	Bent County	08011		Oil (bbl)	12.25
