state	name	FIPS
NE	Sioux	31165
NE	Sheridan	31161
NE	Dawes	31045
NE	Boyd	31015
NE	Keya Paha	31103
NE	Cherry	31031
NE	Holt	31089
NE	Knox	31107
NE	Cedar	31027
NE	Brown	31017
NE	Rock	31149
NE	Dixon	31051
NE	Dakota	31043
NE	Pierce	31139
NE	Box Butte	31013
NE	Antelope	31003
NE	Wayne	31179
NE	Thurston	31173
NE	Grant	31075
NE	Hooker	31091
NE	Cuming	31039
NE	Madison	31119
NE	Stanton	31167
NE	Thomas	31171
NE	Wheeler	31183
NE	Blaine	31009
NE	Loup	31115
NE	Garfield	31071
NE	Burt	31021
NE	Garden	31069
NE	Morrill	31123
NE	Scotts Bluff	31157
NE	Boone	31011
NE	Colfax	31037
NE	Platte	31141
NE	Dodge	31053
NE	McPherson	31117
NE	Arthur	31005
NE	Greeley	31077
NE	Custer	31041
NE	Logan	31113
NE	Valley	31175
NE	Banner	31007
NE	Washington	31177
NE	Nance	31125
NE	Butler	31023
NE	Saunders	31155
NE	Cheyenne	31033
NE	Keith	31101
NE	Lincoln	31111
NE	Polk	31143
NE	Kimball	31105
NE	Merrick	31121
NE	Howard	31093
NE	Sherman	31163
NE	Douglas	31055
NE	Deuel	31049
NE	Sarpy	31153
NE	Hamilton	31081
NE	Cass	31025
NE	York	31185
NE	Hall	31079
NE	Dawson	31047
NE	Buffalo	31019
NE	Seward	31159
NE	Lancaster	31109
NE	Perkins	31135
NE	Otoe	31131
NE	Frontier	31063
NE	Adams	31001
NE	Gosper	31073
NE	Hayes	31085
NE	Chase	31029
NE	Fillmore	31059
NE	Saline	31151
NE	Clay	31035
NE	Kearney	31099
NE	Phelps	31137
NE	Nemaha	31127
NE	Gage	31067
NE	Johnson	31097
NE	Webster	31181
NE	Franklin	31061
NE	Nuckolls	31129
NE	Dundy	31057
NE	Furnas	31065
NE	Thayer	31169
NE	Jefferson	31095
NE	Red Willow	31145
NE	Hitchcock	31087
NE	Harlan	31083
NE	Pawnee	31133
NE	Richardson	31147
