state	name	FIPS
MO	Clark	29045
MO	Scotland	29199
MO	Schuyler	29197
MO	Putnam	29171
MO	Atchison	29005
MO	Mercer	29129
MO	Nodaway	29147
MO	Harrison	29081
MO	Worth	29227
MO	Sullivan	29211
MO	Gentry	29075
MO	Adair	29001
MO	Knox	29103
MO	Grundy	29079
MO	Holt	29087
MO	Lewis	29111
MO	Daviess	29061
MO	Andrew	29003
MO	Macon	29121
MO	Linn	29115
MO	DeKalb	29063
MO	Livingston	29117
MO	Shelby	29205
MO	Marion	29127
MO	Buchanan	29021
MO	Caldwell	29025
MO	Clinton	29049
MO	Chariton	29041
MO	Ralls	29173
MO	Monroe	29137
MO	Carroll	29033
MO	Randolph	29175
MO	Pike	29163
MO	Platte	29165
MO	Ray	29177
MO	Clay	29047
MO	Saline	29195
MO	Audrain	29007
MO	Howard	29089
MO	Lafayette	29107
MO	Boone	29019
MO	Jackson	29095
MO	Lincoln	29113
MO	Montgomery	29139
MO	Callaway	29027
MO	Cooper	29053
MO	Warren	29219
MO	Saint Charles	29183
MO	Pettis	29159
MO	Johnson	29101
MO	Moniteau	29135
MO	Saint Louis	29189
MO	Cass	29037
MO	Saint Louis City	29510
MO	Cole	29051
MO	Gasconade	29073
MO	Franklin	29071
MO	Osage	29151
MO	Morgan	29141
MO	Henry	29083
MO	Benton	29015
MO	Jefferson	29099
MO	Bates	29013
MO	Miller	29131
MO	Maries	29125
MO	Camden	29029
MO	Saint Clair	29185
MO	Crawford	29055
MO	Washington	29221
MO	Phelps	29161
MO	Sainte Genevieve	29186
MO	Saint Francois	29187
MO	Hickory	29085
MO	Vernon	29217
MO	Pulaski	29169
MO	Dallas	29059
MO	Perry	29157
MO	Cedar	29039
MO	Laclede	29105
MO	Polk	29167
MO	Dent	29065
MO	Iron	29093
MO	Barton	29011
MO	Madison	29123
MO	Reynolds	29179
MO	Cape Girardeau	29031
MO	Texas	29215
MO	Bollinger	29017
MO	Dade	29057
MO	Webster	29225
MO	Wright	29229
MO	Greene	29077
MO	Shannon	29203
MO	Jasper	29097
MO	Wayne	29223
MO	Lawrence	29109
MO	Scott	29201
MO	Stoddard	29207
MO	Carter	29035
MO	Christian	29043
MO	Douglas	29067
MO	Mississippi	29133
MO	Howell	29091
MO	Newton	29145
MO	Stone	29209
MO	Barry	29009
MO	Butler	29023
MO	Oregon	29149
MO	New Madrid	29143
MO	Ripley	29181
MO	Taney	29213
MO	Ozark	29153
MO	McDonald	29119
MO	Dunklin	29069
MO	Pemiscot	29155
