state	name	FIPS
TN	Stewart	47161
TN	Robertson	47147
TN	Sumner	47165
TN	Montgomery	47125
TN	Macon	47111
TN	Pickett	47137
TN	Clay	47027
TN	Sullivan	47163
TN	Johnson	47091
TN	Scott	47151
TN	Claiborne	47025
TN	Hancock	47067
TN	Campbell	47013
TN	Hawkins	47073
TN	Fentress	47049
TN	Overton	47133
TN	Jackson	47087
TN	Carter	47019
TN	Obion	47131
TN	Weakley	47183
TN	Lake	47095
TN	Henry	47079
TN	Trousdale	47169
TN	Cheatham	47021
TN	Washington	47179
TN	Union	47173
TN	Smith	47159
TN	Grainger	47057
TN	Davidson	47037
TN	Greene	47059
TN	Morgan	47129
TN	Houston	47083
TN	Benton	47005
TN	Wilson	47189
TN	Hamblen	47063
TN	Dickson	47043
TN	Putnam	47141
TN	Anderson	47001
TN	Unicoi	47171
TN	Humphreys	47085
TN	Gibson	47053
TN	Dyer	47045
TN	Jefferson	47089
TN	Knox	47093
TN	Cocke	47029
TN	Cumberland	47035
TN	Carroll	47017
TN	DeKalb	47041
TN	Rutherford	47149
TN	White	47185
TN	Williamson	47187
TN	Roane	47145
TN	Sevier	47155
TN	Crockett	47033
TN	Hickman	47081
TN	Cannon	47015
TN	Lauderdale	47097
TN	Loudon	47105
TN	Blount	47009
TN	Warren	47177
TN	Maury	47119
TN	Decatur	47039
TN	Perry	47135
TN	Rhea	47143
TN	Van Buren	47175
TN	Henderson	47077
TN	Haywood	47075
TN	Madison	47113
TN	Bledsoe	47007
TN	Meigs	47121
TN	Marshall	47117
TN	Coffee	47031
TN	Bedford	47003
TN	Monroe	47123
TN	Lewis	47101
TN	Tipton	47167
TN	McMinn	47107
TN	Chester	47023
TN	Sequatchie	47153
TN	Grundy	47061
TN	Wayne	47181
TN	Lawrence	47099
TN	Hamilton	47065
TN	Giles	47055
TN	Hardeman	47069
TN	Hardin	47071
TN	Moore	47127
TN	Shelby	47157
TN	Fayette	47047
TN	McNairy	47109
TN	Lincoln	47103
TN	Franklin	47051
TN	Bradley	47011
TN	Marion	47115
TN	Polk	47139
