Year	State	Resource	Revenue
2004	VA	oilgas	49878.92
2005	VA	oilgas	590584.18
2006	VA	oilgas	361929.72
2006	VA	minerals	32358.77
2007	VA	oilgas	380345.86
2007	VA	minerals	76526.59
2008	VA	oilgas	597201.60
2008	VA	minerals	107544.66
2009	VA	oilgas	71427.41
2009	VA	minerals	110497.77
2010	VA	oilgas	140124.65
2010	VA	minerals	117042.69
2011	VA	oilgas	-40692.65
2011	VA	minerals	113854.96
2012	VA	oilgas	74475.17
2012	VA	minerals	128781.76
2013	VA	oilgas	86875.53
2013	VA	minerals	57862.52
2004	VA	minerals	59664.73
2005	VA	minerals	21419.75
