state	name	FIPS
MN	Kittson	27069
MN	Roseau	27135
MN	Koochiching	27071
MN	Saint Louis	27137
MN	Marshall	27089
MN	Beltrami	27007
MN	Lake	27075
MN	Polk	27119
MN	Pennington	27113
MN	Clearwater	27029
MN	Red Lake	27125
MN	Itasca	27061
MN	Mahnomen	27087
MN	Norman	27107
MN	Cass	27021
MN	Hubbard	27057
MN	Becker	27005
MN	Clay	27027
MN	Aitkin	27001
MN	Wadena	27159
MN	Crow Wing	27035
MN	Carlton	27017
MN	Otter Tail	27111
MN	Wilkin	27167
MN	Pine	27115
MN	Todd	27153
MN	Morrison	27097
MN	Mille Lacs	27095
MN	Kanabec	27065
MN	Grant	27051
MN	Douglas	27041
MN	Traverse	27155
MN	Benton	27009
MN	Stearns	27145
MN	Stevens	27149
MN	Pope	27121
MN	Isanti	27059
MN	Chisago	27025
MN	Big Stone	27011
MN	Sherburne	27141
MN	Wright	27171
MN	Anoka	27003
MN	Kandiyohi	27067
MN	Swift	27151
MN	Meeker	27093
MN	Washington	27163
MN	Lac qui Parle	27073
MN	Hennepin	27053
MN	Chippewa	27023
MN	Ramsey	27123
MN	McLeod	27085
MN	Carver	27019
MN	Yellow Medicine	27173
MN	Dakota	27037
MN	Renville	27129
MN	Scott	27139
MN	Sibley	27143
MN	Goodhue	27049
MN	Redwood	27127
MN	Lincoln	27081
MN	Lyon	27083
MN	Le Sueur	27079
MN	Rice	27131
MN	Brown	27015
MN	Nicollet	27103
MN	Wabasha	27157
MN	Blue Earth	27013
MN	Pipestone	27117
MN	Murray	27101
MN	Steele	27147
MN	Dodge	27039
MN	Waseca	27161
MN	Olmsted	27109
MN	Cottonwood	27033
MN	Winona	27169
MN	Watonwan	27165
MN	Rock	27133
MN	Nobles	27105
MN	Freeborn	27047
MN	Mower	27099
MN	Houston	27055
MN	Fillmore	27045
MN	Jackson	27063
MN	Faribault	27043
MN	Martin	27091
MN	Lake of the Woods	27077
MN	Cook	27031
