state	name	FIPS
IN	Elkhart	18039
IN	Saint Joseph	18141
IN	LaPorte	18091
IN	Steuben	18151
IN	LaGrange	18087
IN	Lake	18089
IN	Porter	18127
IN	DeKalb	18033
IN	Noble	18113
IN	Marshall	18099
IN	Kosciusko	18085
IN	Starke	18149
IN	Whitley	18183
IN	Jasper	18073
IN	Allen	18003
IN	Newton	18111
IN	Fulton	18049
IN	Pulaski	18131
IN	Wabash	18169
IN	Huntington	18069
IN	Miami	18103
IN	Adams	18001
IN	Wells	18179
IN	White	18181
IN	Cass	18017
IN	Benton	18007
IN	Carroll	18015
IN	Grant	18053
IN	Jay	18075
IN	Blackford	18009
IN	Howard	18067
IN	Tippecanoe	18157
IN	Warren	18171
IN	Clinton	18023
IN	Tipton	18159
IN	Madison	18095
IN	Delaware	18035
IN	Fountain	18045
IN	Randolph	18135
IN	Hamilton	18057
IN	Montgomery	18107
IN	Boone	18011
IN	Vermillion	18165
IN	Henry	18065
IN	Wayne	18177
IN	Parke	18121
IN	Hancock	18059
IN	Marion	18097
IN	Hendricks	18063
IN	Putnam	18133
IN	Fayette	18041
IN	Rush	18139
IN	Union	18161
IN	Shelby	18145
IN	Johnson	18081
IN	Morgan	18109
IN	Vigo	18167
IN	Clay	18021
IN	Franklin	18047
IN	Owen	18119
IN	Decatur	18031
IN	Monroe	18105
IN	Bartholomew	18005
IN	Brown	18013
IN	Ripley	18137
IN	Dearborn	18029
IN	Sullivan	18153
IN	Jennings	18079
IN	Greene	18055
IN	Jackson	18071
IN	Ohio	18115
IN	Lawrence	18093
IN	Switzerland	18155
IN	Jefferson	18077
IN	Knox	18083
IN	Martin	18101
IN	Daviess	18027
IN	Scott	18143
IN	Washington	18175
IN	Orange	18117
IN	Clark	18019
IN	Pike	18125
IN	Gibson	18051
IN	Dubois	18037
IN	Crawford	18025
IN	Harrison	18061
IN	Floyd	18043
IN	Perry	18123
IN	Warrick	18173
IN	Posey	18129
IN	Spencer	18147
IN	Vanderburgh	18163
