Year	State	County	FIPS	Volume
2005	VA	Dickenson County	51051	2
2008	VA	Highland County	51091	1
2007	VA	Highland County	51091	1
2006	VA	Wise County	51195	1
2007	VA	Wise County	51195	1
2005	VA	Wise County	51195	1
2005	VA	Highland County	51091	1
2006	VA	Highland County	51091	1
2008	VA	Wise County	51195	1
2010	VA	Wise County	51195	1
2014	VA	Wise County	51195	1
2013	VA	Wise County	51195	1
2009	VA	Wise County	51195	1
2012	VA	Wise County	51195	1
2011	VA	Wise County	51195	1
2014	VA	Dickenson County	51051	1
2013	VA	Dickenson County	51051	1
2012	VA	Dickenson County	51051	1
2011	VA	Dickenson County	51051	1
2010	VA	Dickenson County	51051	1
2009	VA	Dickenson County	51051	1
2008	VA	Dickenson County	51051	1
2007	VA	Dickenson County	51051	1
2006	VA	Dickenson County	51051	1
