Year	State	County	FIPS	Resource	Revenue
2004	VA	Dickenson	51051	oilgas	43276.27
2004	VA	Giles	51071	minerals	59664.73
2004	VA	Highland	51091	oilgas	63.58
2004	VA	Wise	51195	oilgas	6539.07
2005	VA	Dickenson	51051	oilgas	547848.46
2005	VA	Giles	51071	minerals	21419.75
2005	VA	Highland	51091	oilgas	305.25
2005	VA	Wise	51195	oilgas	42430.47
2006	VA	Dickenson	51051	oilgas	231689.55
2006	VA	Giles	51071	minerals	32358.77
2006	VA	Highland	51091	oilgas	631.14
2006	VA	Lee	51105	oilgas	3117.00
2006	VA	Wise	51195	oilgas	126492.03
2007	VA	Dickenson	51051	oilgas	281925.38
2007	VA	Giles	51071	minerals	76526.59
2007	VA	Highland	51091	oilgas	163.52
2007	VA	Lee	51105	oilgas	1558.50
2007	VA	Wise	51195	oilgas	96698.46
2008	VA	Dickenson	51051	oilgas	244141.86
2008	VA	Giles	51071	minerals	107544.66
2008	VA	Highland	51091	oilgas	151166.72
2008	VA	Lee	51105	oilgas	1558.50
2008	VA	Wise	51195	oilgas	200334.52
2009	VA	Dickenson	51051	oilgas	96524.68
2009	VA	Giles	51071	minerals	110497.77
2009	VA	Highland	51091	oilgas	30303.00
2009	VA	Lee	51105	oilgas	1558.50
2009	VA	Wise	51195	oilgas	-56958.77
2010	VA	Dickenson	51051	oilgas	86766.16
2010	VA	Giles	51071	minerals	117042.69
2010	VA	Highland	51091	oilgas	15137.50
2010	VA	Lee	51105	oilgas	2078.00
2010	VA	Wise	51195	oilgas	36142.99
2011	VA	Dickenson	51051	oilgas	73734.16
2011	VA	Giles	51071	minerals	113854.96
2011	VA	Lee	51105	oilgas	2078.00
2011	VA	Wise	51195	oilgas	-116504.81
2012	VA	Dickenson	51051	oilgas	49105.56
2012	VA	Giles	51071	minerals	128781.76
2012	VA	Highland	51091	oilgas	15151.50
2012	VA	Lee	51105	oilgas	2078.00
2012	VA	Wise	51195	oilgas	8140.11
2013	VA	Dickenson	51051	oilgas	57916.70
2013	VA	Giles	51071	minerals	57862.52
2013	VA	Highland	51091	oilgas	20202.00
2013	VA	Wise	51195	oilgas	8756.83
