Year	State	County	FIPS	Volume
2008	CO	Broomfield County	08014	2
2007	CO	Broomfield County	08014	2
2005	CO	Broomfield County	08014	2
2009	CO	Broomfield County	08014	2
2006	CO	Broomfield County	08014	2
2010	CO	Gunnison County	08051	5
2014	CO	Kit Carson County	08063	2
2007	CO	Gunnison County	08051	5
2011	CO	Arapahoe County	08005	2
2013	CO	Kit Carson County	08063	2
2006	CO	Bent County	08011	2
2006	CO	Fremont County	08043	1
2010	CO	Broomfield County	08014	2
2014	CO	Arapahoe County	08005	1
2013	CO	Delta County	08029	5
2012	CO	Kit Carson County	08063	2
2011	CO	Kit Carson County	08063	2
2005	CO	Bent County	08011	2
2009	CO	Arapahoe County	08005	2
2009	CO	Bent County	08011	2
2007	CO	Bent County	08011	2
2012	CO	Arapahoe County	08005	2
2008	CO	Arapahoe County	08005	2
2006	CO	Kit Carson County	08063	2
2009	CO	Kit Carson County	08063	2
2013	CO	Arapahoe County	08005	1
2010	CO	Kit Carson County	08063	2
2008	CO	Bent County	08011	2
2008	CO	Kit Carson County	08063	2
2010	CO	Arapahoe County	08005	2
2007	CO	Kit Carson County	08063	2
2005	CO	Kit Carson County	08063	2
2009	CO	Delta County	08029	3
2006	CO	Gunnison County	08051	5
2012	CO	Delta County	08029	5
2005	CO	Mesa County	08077	4
2010	CO	Delta County	08029	4
2009	CO	San Miguel County	08113	4
2009	CO	La Plata County	08067	2
2007	CO	Fremont County	08043	2
2013	CO	La Plata County	08067	3
2011	CO	Gunnison County	08051	5
2010	CO	La Plata County	08067	2
2012	CO	Bent County	08011	2
2014	CO	La Plata County	08067	3
2014	CO	Delta County	08029	4
2007	CO	Arapahoe County	08005	2
2014	CO	Broomfield County	08014	2
2012	CO	Fremont County	08043	2
2006	CO	La Plata County	08067	2
2011	CO	La Plata County	08067	2
2014	CO	San Miguel County	08113	4
2007	CO	La Plata County	08067	2
2011	CO	Delta County	08029	5
2008	CO	Delta County	08029	3
2006	CO	Arapahoe County	08005	2
2012	CO	Gunnison County	08051	5
2014	CO	Fremont County	08043	2
2009	CO	Mesa County	08077	4
2011	CO	Fremont County	08043	2
2010	CO	Fremont County	08043	2
2012	CO	La Plata County	08067	2
2005	CO	La Plata County	08067	2
2013	CO	Fremont County	08043	2
2013	CO	Broomfield County	08014	2
2005	CO	Arapahoe County	08005	2
2006	CO	Delta County	08029	3
2009	CO	Fremont County	08043	2
2008	CO	Gunnison County	08051	5
2005	CO	Fremont County	08043	1
2008	CO	Fremont County	08043	2
2008	CO	La Plata County	08067	3
2005	CO	Delta County	08029	3
2007	CO	Delta County	08029	3
2011	CO	San Miguel County	08113	4
2008	CO	San Miguel County	08113	4
2011	CO	Bent County	08011	2
2010	CO	Moffat County	08081	5
2013	CO	Gunnison County	08051	4
2012	CO	Broomfield County	08014	2
2013	CO	Bent County	08011	2
2010	CO	San Miguel County	08113	4
2014	CO	Bent County	08011	2
2005	CO	Gunnison County	08051	3
2010	CO	Mesa County	08077	4
2011	CO	Larimer County	08069	2
2012	CO	Larimer County	08069	2
2013	CO	Larimer County	08069	2
2014	CO	Larimer County	08069	2
2013	CO	San Miguel County	08113	4
2010	CO	Larimer County	08069	2
2013	CO	Jackson County	08057	3
2010	CO	Bent County	08011	2
2006	CO	Moffat County	08081	5
2011	CO	Broomfield County	08014	2
2011	CO	Prowers County	08099	1
2012	CO	San Miguel County	08113	4
2011	CO	Moffat County	08081	5
2007	CO	San Miguel County	08113	4
2006	CO	Mesa County	08077	4
2009	CO	Gunnison County	08051	4
2013	CO	Morgan County	08087	2
2008	CO	Mesa County	08077	4
2005	CO	Larimer County	08069	2
2006	CO	Larimer County	08069	2
2007	CO	Larimer County	08069	2
2008	CO	Larimer County	08069	2
2009	CO	Larimer County	08069	2
2005	CO	Morgan County	08087	2
2007	CO	Mesa County	08077	4
2012	CO	Jackson County	08057	3
2005	CO	Moffat County	08081	5
2011	CO	Morgan County	08087	2
2014	CO	Prowers County	08099	1
2014	CO	Morgan County	08087	1
2006	CO	San Miguel County	08113	4
2014	CO	Gunnison County	08051	3
2013	CO	Logan County	08075	2
2010	CO	Morgan County	08087	1
2006	CO	Morgan County	08087	1
2012	CO	Logan County	08075	2
2009	CO	Morgan County	08087	1
2007	CO	Morgan County	08087	1
2012	CO	Morgan County	08087	2
2008	CO	Morgan County	08087	1
2014	CO	Logan County	08075	2
2005	CO	Logan County	08075	2
2006	CO	Logan County	08075	2
2007	CO	Logan County	08075	2
2008	CO	Logan County	08075	2
2009	CO	Logan County	08075	2
2010	CO	Logan County	08075	2
2011	CO	Logan County	08075	2
2013	CO	Prowers County	08099	1
2012	CO	Kiowa County	08061	2
2005	CO	Garfield County	08045	4
2010	CO	Kiowa County	08061	2
2012	CO	Prowers County	08099	1
2006	CO	Garfield County	08045	5
2014	CO	Adams County	08001	2
2013	CO	Routt County	08107	4
2009	CO	Moffat County	08081	5
2005	CO	San Miguel County	08113	4
2005	CO	Prowers County	08099	1
2011	CO	Kiowa County	08061	2
2008	CO	Kiowa County	08061	2
2011	CO	Mesa County	08077	4
2009	CO	Kiowa County	08061	2
2014	CO	Kiowa County	08061	2
2013	CO	Kiowa County	08061	2
2009	CO	Prowers County	08099	1
2007	CO	Kiowa County	08061	2
2008	CO	Moffat County	08081	5
2007	CO	Garfield County	08045	4
2006	CO	Kiowa County	08061	2
2005	CO	Kiowa County	08061	2
2007	CO	Prowers County	08099	1
2014	CO	Routt County	08107	4
2008	CO	Garfield County	08045	4
2013	CO	Washington County	08121	2
2014	CO	Washington County	08121	2
2008	CO	Prowers County	08099	1
