Year	Commodity	Volume	County	State	Product
2004		398197		KS	Natural Gas (MMcf)
2005		378250		KS	Natural Gas (MMcf)
2006		372029		KS	Natural Gas (MMcf)
2007		366859		KS	Natural Gas (MMcf)
2008		375314		KS	Natural Gas (MMcf)
2009		355394		KS	Natural Gas (MMcf)
2010		325591		KS	Natural Gas (MMcf)
2011		309952		KS	Natural Gas (MMcf)
2012		296299		KS	Natural Gas (MMcf)
2013		292467		KS	Natural Gas (MMcf)
2004		33879000		KS	Crude Oil (bbl)
2005		33620000		KS	Crude Oil (bbl)
2006		35668000		KS	Crude Oil (bbl)
2007		36590000		KS	Crude Oil (bbl)
2008		39663000		KS	Crude Oil (bbl)
2009		39466000		KS	Crude Oil (bbl)
2010		40468000		KS	Crude Oil (bbl)
2011		41507000		KS	Crude Oil (bbl)
2012		43743000		KS	Crude Oil (bbl)
2013		46845000		KS	Crude Oil (bbl)
2004		13		KS	Conventional Hydroelectric (Kwh)
2005		11		KS	Conventional Hydroelectric (Kwh)
2006		10		KS	Conventional Hydroelectric (Kwh)
2007		11		KS	Conventional Hydroelectric (Kwh)
2008		11		KS	Conventional Hydroelectric (Kwh)
2009		13		KS	Conventional Hydroelectric (Kwh)
2010		13		KS	Conventional Hydroelectric (Kwh)
2011		15		KS	Conventional Hydroelectric (Kwh)
2012		10		KS	Conventional Hydroelectric (Kwh)
2013		15		KS	Conventional Hydroelectric (Kwh)
2004		359		KS	All Other Renewables (Kwh)
2005		426		KS	All Other Renewables (Kwh)
2006		992		KS	All Other Renewables (Kwh)
2007		1153		KS	All Other Renewables (Kwh)
2008		1759		KS	All Other Renewables (Kwh)
2009		2863		KS	All Other Renewables (Kwh)
2010		3459		KS	All Other Renewables (Kwh)
2011		3779		KS	All Other Renewables (Kwh)
2012		5253		KS	All Other Renewables (Kwh)
2013		9491		KS	All Other Renewables (Kwh)
2004		359		KS	Wind (Kwh)
2005		426		KS	Wind (Kwh)
2006		992		KS	Wind (Kwh)
2007		1153		KS	Wind (Kwh)
2008		1759		KS	Wind (Kwh)
2009		2863		KS	Wind (Kwh)
2010		3405		KS	Wind (Kwh)
2011		3720		KS	Wind (Kwh)
2012		5195		KS	Wind (Kwh)
2013		9433		KS	Wind (Kwh)
2009		0		KS	Biomass (total) (Kwh)
2010		54		KS	Biomass (total) (Kwh)
2011		59		KS	Biomass (total) (Kwh)
2012		57		KS	Biomass (total) (Kwh)
2013		58		KS	Biomass (total) (Kwh)
2009		0		KS	Other biomass (Kwh)
2010		54		KS	Other biomass (Kwh)
2011		59		KS	Other biomass (Kwh)
2012		57		KS	Other biomass (Kwh)
2013		58		KS	Other biomass (Kwh)
2004		731		KS	All Renewables (Kwh)
2005		863		KS	All Renewables (Kwh)
2006		1994		KS	All Renewables (Kwh)
2007		2317		KS	All Renewables (Kwh)
2008		3529		KS	All Renewables (Kwh)
2009		5739		KS	All Renewables (Kwh)
2010		6985		KS	All Renewables (Kwh)
2011		7632		KS	All Renewables (Kwh)
2012		10572		KS	All Renewables (Kwh)
2013		19055		KS	All Renewables (Kwh)
2004		70650	Bourbon County	KS	Coal (short tons)
2005		170658	Bourbon County	KS	Coal (short tons)
2006		254077	Bourbon County	KS	Coal (short tons)
2006		171920	Linn County	KS	Coal (short tons)
2007		210943	Bourbon County	KS	Coal (short tons)
2007		209493	Linn County	KS	Coal (short tons)
2008		180967	Bourbon County	KS	Coal (short tons)
2008		48279	Linn County	KS	Coal (short tons)
2009		184812	Bourbon County	KS	Coal (short tons)
2010		132691	Bourbon County	KS	Coal (short tons)
2011		37257	Bourbon County	KS	Coal (short tons)
2012		15864	Bourbon County	KS	Coal (short tons)
2013		22150	Bourbon County	KS	Coal (short tons)
