Year	State	County	FIPS	Commodity	type	Revenue
2004	ID	Bingham	16011	Phosphate	Other Revenues	2699.54
2004	ID	Caribou	16029	Phosphate	Other Revenues	37096.46
2005	ID	Bear Lake	16007	Phosphate	Other Revenues	198
2005	ID	Caribou	16029	Phosphate	Other Revenues	1080
2006	ID	Bingham	16011	Phosphate	Other Revenues	480
2006	ID	Caribou	16029	Phosphate	Other Revenues	18222
2006	ID	Clark	16033	Phosphate	Other Revenues	666
2006	ID	Latah	16057	Hardrock	Other Revenues	900
2007	ID	Caribou	16029	Phosphate	Other Revenues	55191
2008	ID	Bingham	16011	Phosphate	Other Revenues	1047.54
2008	ID	Caribou	16029	Phosphate	Other Revenues	21799.46
2009	ID	Caribou	16029	Phosphate	Other Revenues	19851
2010	ID	Caribou	16029	Phosphate	Other Revenues	15546
2011	ID	Caribou	16029	Phosphate	Other Revenues	2877
2012	ID	Bear Lake	16007	Phosphate	Other Revenues	198
2012	ID	Caribou	16029	Phosphate	Other Revenues	2328
2013	ID	Bear Lake	16007	Phosphate	Other Revenues	198
2013	ID	Caribou	16029	Phosphate	Other Revenues	5448
2013	ID	Clearwater	16035	Hardrock	Royalties	3.28
