state	name	FIPS
NY	Clinton	36019
NY	Saint Lawrence	36089
NY	Franklin	36033
NY	Essex	36031
NY	Jefferson	36045
NY	Lewis	36049
NY	Hamilton	36041
NY	Herkimer	36043
NY	Washington	36115
NY	Warren	36113
NY	Oswego	36075
NY	Oneida	36065
NY	Cayuga	36011
NY	Saratoga	36091
NY	Orleans	36073
NY	Niagara	36063
NY	Monroe	36055
NY	Wayne	36117
NY	Fulton	36035
NY	Onondaga	36067
NY	Madison	36053
NY	Genesee	36037
NY	Erie	36029
NY	Montgomery	36057
NY	Ontario	36069
NY	Seneca	36099
NY	Livingston	36051
NY	Rensselaer	36083
NY	Schenectady	36093
NY	Otsego	36077
NY	Wyoming	36121
NY	Schoharie	36095
NY	Albany	36001
NY	Cortland	36023
NY	Yates	36123
NY	Chenango	36017
NY	Tompkins	36109
NY	Steuben	36101
NY	Chautauqua	36013
NY	Schuyler	36097
NY	Cattaraugus	36009
NY	Allegany	36003
NY	Delaware	36025
NY	Columbia	36021
NY	Greene	36039
NY	Broome	36007
NY	Tioga	36107
NY	Chemung	36015
NY	Ulster	36111
NY	Dutchess	36027
NY	Sullivan	36105
NY	Orange	36071
NY	Putnam	36079
NY	Westchester	36119
NY	Rockland	36087
NY	Suffolk	36103
NY	Bronx	36005
NY	Nassau	36059
NY	New York	36061
NY	Queens	36081
NY	Kings	36047
NY	Richmond	36085
